Susceptibles,Infectados,Recuperados
0.9,0.1,0.0
0.783,0.17700000000000002,0.04000000000000001
0.6028317,0.2863683,0.11080000000000002
0.37841024415035696,0.396242435849643,0.22534732000000002
0.1834853881899827,0.43267031747016005,0.38384429433985723
0.08028010268289872,0.36280747598918,0.5569124213279213
0.042416014828403625,0.2555485734480031,0.7020354117235933
0.028324857123431364,0.1674203017737741,0.8042548411027945
0.0,0.10661698402975955,0.8712229618123042
0.0,0.06704162000018762,0.913869755424208
0.0,0.04188862400977366,0.940686403424283
0.0,0.02608205496731824,0.9574418530281925
0.0,0.01620788241889093,0.9678746750151198
0.015582058117214569,0.010060113900109262,1.0
0.0,0.0,0.9783818735427199
0.0,0.0,0.9808778146640639
0.015176814166467056,0.0,0.9824252775821348
0.015129503776171437,0.0,0.983384440882694
0.0,0.0009208614685445726,1.0
0.0,0.0,1.0
